"@martitwit,RT@appsterdamrs:3spotsleftfortheBrainstormdayattheMuseumofLiterature!RSVPnowhttp://tco/wd739fjr#appsterdam,Wed,14Nov201222:53:19+0000,https://twittercom/martitwit/status/268849120461086720"
"@appsterdamrs,3spotsleftfortheBrainstormdayattheMuseumofLiterature!RSVPnowhttp://tco/mLqj5bUZ,Wed,14Nov201222:52:51+0000,https://twittercom/appsterdamrs/status/268849002898944001"
"@appsterdamrs,RT@sla_shalafi:gettingthebiketogotoMeeten&amp;Drinlen#appsterdamin10,9,8,Wed,14Nov201217:21:54+0000,https://twittercom/appsterdamrs/status/268765714742116352"
"@sla_shalafi,gettingthebiketogotoMeeten&amp;Drinlen#appsterdamin10,9,8,Wed,14Nov201217:21:09+0000,https://twittercom/sla_shalafi/status/268765524706603009"
"@appsterdamrs,Announced@code4europeatthe@appsterdamWeeklyWednesdayLunchtimeLectureThecrowdwasinterested!,Wed,14Nov201217:20:57+0000,https://twittercom/appsterdamrs/status/268765477218705408"
"@saghul,RT@sla_shalafi:WanttolearnAndroid?LiveintheNetherlands?Youmustcheckoutthiscoursehttp://tco/cZWQOGRm#appsterdam,Wed,14Nov201217:08:39+0000,https://twittercom/saghul/status/268762381369352192"
"@bmf,RT@sla_shalafi:WanttolearnAndroid?LiveintheNetherlands?Youmustcheckoutthiscoursehttp://tco/cZWQOGRm#appsterdam,Wed,14Nov201216:40:18+0000,https://twittercom/bmf/status/268755245419606017"
"@appsterdam,RT@waag:#vacancyOurspin-off@7scenes,themobilestorytellingplatform,islookingforaBusinessDeveloperhttp://tco/Us7SOgyd,Wed,14Nov201214:50:55+0000,https://twittercom/appsterdam/status/268727717980172288"
"@appsterdamrs,RT@francescomattia:OnWed,28thIamgivingalunchtimelectureat@appsterdamhttp://tco/ANq4Zi7Jeveryoneiswelcome!,Wed,14Nov201213:00:31+0000,https://twittercom/appsterdamrs/status/268699935178883074"
"@appsterdamrs,RT@BBDevGroupNL:LunchtimeLecture-Doubleyourmoney-PortYourAndroidApptoBlackBerryin10Minutes-Wednesday21Novemberhttp://tco/M8XmoseU,Wed,14Nov201213:00:26+0000,https://twittercom/appsterdamrs/status/268699913670512642"
"@appsterdam,RT@AmsterdamPHP:Lookslikeweareinforahugemeetupthisweek!Whatareyouwaitingfor?http://tco/yHqr7vL8RSVPnow!,Wed,14Nov201212:33:44+0000,https://twittercom/appsterdam/status/268693195490226176"
"@judykitteh,""RUDE""DesignEvaluation:
Realistic,Utopic,Determination,EducationCristianScarlatof@AmsGentlemen@#Appsterdam#WWLL,Wed,14Nov201212:19:33+0000,https://twittercom/judykitteh/status/268689625277689856"
"@whakkee,@codefrenzythinkIjustpassedthatpoint!Howboutcoffeesomeday?Ormaybeyoudliketocometo#Appsterdammeeten&amp;drinkentonight?,Wed,14Nov201211:02:15+0000,https://twittercom/whakkee/status/268670172469018624"
"@sla_shalafi,@francescomattia@appsterdamgoodluck!PityImnotreallyintoiOS,otherwiseIllattendit,Wed,14Nov201210:30:34+0000,https://twittercom/sla_shalafi/status/268662199088734208"
"@jpetrise,RT@BBDevGroupNL:LunchtimeLecture-Doubleyourmoney-PortYourAndroidApptoBlackBerryin10Minutes-Wednesday21Novemberhttp://tco/M8XmoseU,Wed,14Nov201210:29:49+0000,https://twittercom/jpetrise/status/268662012274438144"
"@BBDevGroupNL,LunchtimeLecture-Doubleyourmoney-PortYourAndroidApptoBlackBerryin10Minutes-Wednesday21Novemberhttp://tco/M8XmoseU,Wed,14Nov201209:59:20+0000,https://twittercom/BBDevGroupNL/status/268654337989959680"
"@pauldarcey,RT@francescomattia:OnWed,28thIamgivingalunchtimelectureat@appsterdamhttp://tco/ANq4Zi7Jeveryoneiswelcome!,Wed,14Nov201209:35:43+0000,https://twittercom/pauldarcey/status/268648395223228416"
"@gert_jan,RT@francescomattia:OnWed,28thIamgivingalunchtimelectureat@appsterdamhttp://tco/ANq4Zi7Jeveryoneiswelcome!,Wed,14Nov201208:42:57+0000,https://twittercom/gert_jan/status/268635117579276289"
"@LastWebdesigner,RT@francescomattia:OnWed,28thIamgivingalunchtimelectureat@appsterdamhttp://tco/ANq4Zi7Jeveryoneiswelcome!,Wed,14Nov201208:41:55+0000,https://twittercom/LastWebdesigner/status/268634858593607680"
"@francescomattia,OnWed,28thIamgivingalunchtimelectureat@appsterdamhttp://tco/ANq4Zi7Jeveryoneiswelcome!,Wed,14Nov201208:39:57+0000,https://twittercom/francescomattia/status/268634361765691392"
"@OpenCoffeeAdam,IDFAstart25steeditiemetWrongTimWrongPlace:MetdefilmWrongTimeWrongPlacevanregisseurJohnAppelbhttp://tco/7BIb5lW0,Wed,14Nov201207:38:12+0000,https://twittercom/OpenCoffeeAdam/status/268618820741120000"
"@elenicett_cm,RT@MakeSenseTwitts:HeySenseMakers,whataboutrecommendingthisMakeSensepagetoatleastoneofyourfriendwhomightbehttp://tco/mql3Oj9A,Sat,17Nov201200:25:41+0000,https://twittercom/elenicett_cm/status/269597137619259392"
"@MakeSenseTwitts,HeySenseMakers,whataboutrecommendingthisMakeSensepagetoatleastoneofyourfriendwhomightbehttp://tco/mql3Oj9A,Fri,16Nov201222:17:13+0000,https://twittercom/MakeSenseTwitts/status/269564811103305728"
"@MakeSenseTwitts,HeySenseMakers,whataboutrecommendingthisMakeSensepagetoatleastoneofyourfriendwhomightbehttp://tco/opfkuo3b,Fri,16Nov201222:13:17+0000,https://twittercom/MakeSenseTwitts/status/269563821587304448"
"@iamRieta,ImattendingaMeetupwithSensemakersAmsterdamhttp://tco/38DvAb5y,Fri,16Nov201214:40:48+0000,https://twittercom/iamRieta/status/269449948259561472"
"@elsatch,RT@jmsaavedra:#sensemakersmeetuptonightisgoinggreat,talksby@faludi@lpercifield@bitponicsandmorehttp://tco/XIN7FLPv,Thu,15Nov201200:52:15+0000,https://twittercom/elsatch/status/268879047382163456"
"@jmsaavedra,#sensemakersmeetuptonightisgoinggreat,talksby@faludi@lpercifield@bitponicsandmorehttp://tco/XIN7FLPv,Thu,15Nov201200:39:43+0000,https://twittercom/jmsaavedra/status/268875893877915648"
"@edborden,#sensemakers@faluditalking#iot+businesshttp://tco/sPv7jDBC,Thu,15Nov201200:02:42+0000,https://twittercom/edborden/status/268866571911438336"
